4	183	232
5	128	240
6	174	248
7	119	256
8	165	264
9	110	272
10	156	280
11	101	288
12	147	296
13	193	203
14	138	211
15	184	219
16	129	227
17	175	235
18	120	243
19	166	251
20	111	259
21	157	267
22	102	275
23	148	283
24	194	291
25	139	299
26	185	206
27	130	214
28	176	222
29	121	230
30	167	238
31	112	246
32	158	254
33	103	262
34	149	270
35	195	278
36	140	286
37	186	294
38	131	201
39	177	209
40	122	217
41	168	225
42	113	233
43	159	241
44	104	249
45	150	257
46	196	265
47	141	273
48	187	281
49	132	289
50	178	297
51	123	204
52	169	212
53	114	220
54	160	228
55	105	236
56	151	244
57	197	252
58	142	260
59	188	268
60	133	276
61	179	284
62	124	292
63	170	300
64	115	207
65	161	215
66	106	223
67	152	231
68	198	239
69	143	247
70	189	255
71	134	263
72	180	271
73	125	279
74	171	287
75	116	295
76	162	202
77	107	210
78	153	218
79	199	226
80	144	234
81	190	242
82	135	250
83	181	258
84	126	266
85	172	274
86	117	282
87	163	290
88	108	298
89	154	205
90	200	213
91	145	221
92	191	229
93	136	237
94	182	245
95	127	253
96	173	261
97	118	269
98	164	277
99	109	285
100	155	293
1	110	231
2	120	262
3	130	293
4	140	223
5	150	254
6	160	285
7	170	215
8	180	246
9	190	277
10	200	207
11	109	238
12	119	269
13	129	300
14	139	230
15	149	261
16	159	292
17	169	222
18	179	253
19	189	284
20	199	214
21	108	245
22	118	276
23	128	206
24	138	237
25	148	268
26	158	299
27	168	229
28	178	260
29	188	291
30	198	221
31	107	252
32	117	283
33	127	213
34	137	244
35	147	275
36	157	205
37	167	236
38	177	267
39	187	298
40	197	228
41	106	259
42	116	290
43	126	220
44	136	251
45	146	282
46	156	212
47	166	243
48	176	274
49	186	204
50	196	235
51	105	266
52	115	297
53	125	227
54	135	258
55	145	289
56	155	219
57	165	250
58	175	281
59	185	211
60	195	242
61	104	273
62	114	203
63	124	234
64	134	265
65	144	296
66	154	226
67	164	257
68	174	288
69	184	218
70	194	249
71	103	280
72	113	210
73	123	241
74	133	272
75	143	202
76	153	233
77	163	264
78	173	295
79	183	225
80	193	256
81	102	287
82	112	217
83	122	248
84	132	279
85	142	209
86	152	240
87	162	271
88	172	201
